index,followers,connections,time_spent,content_links,media_type,num_hashtags,hashtag_followers,hashtags,reactions,comments,views,content,label
3874,263346.0,500+,2 years ago,"[['https://lnkd.in/gb5D6mH', 'https://lnkd.in/gb5D6mH'], ['https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#ai'], ['https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#business'], ['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=data&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#data'], ['https://www.linkedin.com/feed/hashtag/?keywords=health&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#health'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344', '#healthcare']]",image,6,0,"[['#ai', 'https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344'], ['#business', 'https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344'], ['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344'], ['#data', 'https://www.linkedin.com/feed/hashtag/?keywords=data&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344'], ['#health', 'https://www.linkedin.com/feed/hashtag/?keywords=health&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6445160048531513344']]",15,0,,"""In their editorial, Keane and Topol, wrote about the A.I. chasm. """"...That is the gulf between developing a scientifically sound algorithm and its use in any meaningful real-world applications. It is one thing to develop an algorithm that works well on a small dataset from a specific population, it is quite another to develop one that will generalize to other populations and across different imaging modalities.""""  What ventures in your opinion have the largest potential to cross the A.I. chasm?  https://lnkd.in/gb5D6mH "" #ai   #business   #technology   #data   #health   #healthcare 
 
 
 …see more",Others
3881,263346.0,500+,2 years ago,"[['http://bit.ly/2wEg6Wm', 'http://bit.ly/2wEg6Wm'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6443727374570778624', '#digitalhealth'], ['https://www.linkedin.com/feed/hashtag/?keywords=ebook&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6443727374570778624', '#ebook']]",image,2,0,"[['#digitalhealth', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6443727374570778624'], ['#ebook', 'https://www.linkedin.com/feed/hashtag/?keywords=ebook&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6443727374570778624']]",16,0,,"Check out my selection of e-books on what innovation means in healthcare. 40 exciting questions, a list of the top 100 digital health companies & more:  http://bit.ly/2wEg6Wm   #digitalhealth   #ebook",Interactive Promotions
3926,263346.0,500+,2 years ago,"[['https://lnkd.in/dsQVNH3', 'https://lnkd.in/dsQVNH3']]",image,0,0,[],35,2,,A good video for the weekend to think about our future?  https://lnkd.in/dsQVNH3,Others
3936,263346.0,500+,2 years ago,"[['mailto:badge@medicalfuturist.com', 'badge@medicalfuturist.com'], ['https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984', '#fromchancetochoice'], ['https://www.linkedin.com/feed/hashtag/?keywords=askmeaboutdigital&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984', '#askmeaboutdigital'], ['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984', '#medicine']]",image,5,0,"[['#fromchancetochoice', 'https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984'], ['#askmeaboutdigital', 'https://www.linkedin.com/feed/hashtag/?keywords=askmeaboutdigital&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984'], ['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984'], ['#medicine', 'https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435444827936169984']]",46,2,,"Photos are coming in from physicians who just put out their Ask Me About Digital badge on their door. They encourage their patients to ask technology-related questions too because together they can find solutions for those.  This is the ideal doctor-patient partnership in the digital era that we at The Medical Futurist are working for.  Get your badge or pin for free by sending your address to  badge@medicalfuturist.com ! #fromchancetochoice   #askmeaboutdigital   #technology   #healthcare   #medicine 
 
 
 …see more",Others
3941,263346.0,500+,2 years ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=emergencymedicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032', '#emergencymedicine']]",article,3,0,"[['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032'], ['#emergencymedicine', 'https://www.linkedin.com/feed/hashtag/?keywords=emergencymedicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6435349992571052032']]",34,1,,What trends and technologies will have an impact on the future of emergency medicine? Read on! #technology   #healthcare   #emergencymedicine,Trends
3988,263346.0,500+,2 years ago,"[['https://lnkd.in/e7B3aNV', 'https://lnkd.in/e7B3aNV']]",image,0,0,[],47,6,,"We defined digital health as the cultural transformation of how disruptive technologies that provide digital and objective data accessible to both caregivers and patients leads to an equal level doctor-patient relationship with shared decision-making and the democratization of care. What do you think?  The Medical Futurist Institute published the definition in this paper:  https://lnkd.in/e7B3aNV #technology #healthcare #digitalhealth 
 
 
 …see more",Others
4013,263346.0,500+,2 years ago,[],image,0,0,[],280,20,,"In the last few days, I've asked many specialists to test the Philips Lumify portable ultrasound with me. Physicians who regularly do eye, abdomen and pediatric ultrasounds have checked it out and were all amazed by its features. We'll post the review with videos soon.  It's amazing that I can just grab the device and record an ultrasound examination without prior training then send it to a specialist who can remotely check it out! #POCUS #fromchancetochoice #digitalhealth #future #health #healthcare #medicine #ultrasound 
 
 
 …see more",Others
4023,263346.0,500+,2 years ago,"[['https://lnkd.in/ebiYNdR', 'https://lnkd.in/ebiYNdR']]",image,0,0,[],19,1,,"Our newest study about whether artificial intelligence can help solve the human resources crisis in healthcare is now added to our publication list. Check it out!  https://lnkd.in/ebiYNdR #healthcare #artificialintelligence #humanresources 
 
 
 …see more",Educational Resources
4036,263346.0,500+,2 years ago,[],video,0,0,[],65,9,,"Is the LinkedIn community the right audience for a video about how Rick&Morty helps predict the future of healthcare? Do you watch the show? #digitalhealth #future #rickandmorty #healthcare #video #prediction 
 
 
 …see more",Trends
4046,263346.0,500+,2 years ago,"[['http://Webicina.com', 'Webicina.com'], ['mailto:info@webicina.com', 'info@webicina.com']]",image,0,0,[],17,4,,"I'm looking for a new owner for the world's most comprehensive, hand-curated database of medical social media resources on  Webicina.com . Hundreds of manually selected resources, thousands of collections in medical conditions and specialties. It has enormous potentials in bringing quality online resources to patients and physicians. Communication agencies, insurance and pharma companies could benefit the most from keeping on developing that. If you are interested, please contact me at  info@webicina.com . #socialmedia #communication #digitalhealth #curation 
 
 
 …see more",Others
4053,263346.0,500+,2 years ago,[],article,0,0,[],38,2,,"We have an easy puzzle for you! What could reduce epileptic seizures, decrease depression levels and improve cognition for Alzheimer patients without a single dose of medication? #digitalhealth #music 
 
 
 …see more",Others
4057,89566.0,500+,20 hours ago,"[['http://ow.ly/o4x150Dy3hD', 'http://ow.ly/o4x150Dy3hD']]",image,0,0,[],1,0,,"Working caregivers spend up to 30 hours per week caring for a family member or friend  in addition to working their paid job. Often, the care they provide is vital to the health and even the life of  someone they love. Let's start recognizing and supporting working caregivers.  http://ow.ly/o4x150Dy3hD 
 
 
 …see more",Others
4093,89566.0,500+,3 months ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=caregivers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672', '#caregivers'], ['https://www.linkedin.com/feed/hashtag/?keywords=heroes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672', '#heroes'], ['https://www.linkedin.com/feed/hashtag/?keywords=covid19&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672', '#covid19']]",image,3,0,"[['#caregivers', 'https://www.linkedin.com/feed/hashtag/?keywords=caregivers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672'], ['#heroes', 'https://www.linkedin.com/feed/hashtag/?keywords=heroes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672'], ['#covid19', 'https://www.linkedin.com/feed/hashtag/?keywords=covid19&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6734866520423452672']]",12,1,,What at beautiful tribute @AARP has created to recognize the heroism family caregivers exhibit during this challenging time.  #caregivers   #heroes   #covid19,Others
4139,89566.0,500+,5 months ago,"[['https://www.linkedin.com/in/ACoAAABz1nMB21ulySLeLhyRiv_UWIvmyT4GTy0', 'Thompson Aderinkomi'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6710035374002982912', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=telehealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6710035374002982912', '#telehealth']]",article,2,0,"[['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6710035374002982912'], ['#telehealth', 'https://www.linkedin.com/feed/hashtag/?keywords=telehealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6710035374002982912']]",8,1,,"If you profess to be interested in improving healthcare in America please take a few minutes to read this powerful letter written by Gil Addo co-founder of RubiconMD and brought to my attention by  Thompson Aderinkomi .  We can not claim success in improving delivery of care and outcomes if we are neglecting minority and rural communities without the resources so many assume are available to all.   #healthcare   #telehealth 
 
 
 …see more",Educational Resources
4173,89566.0,500+,7 months ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752', '#caregiving'], ['https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752', '#business'], ['https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752', '#benefits']]",article,3,0,"[['#caregiving', 'https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752'], ['#business', 'https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752'], ['#benefits', 'https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6687451930291146752']]",6,0,,"As some return to work, family caregivers duties at home haven't gone away. In fact their responsibilities are increasing.   #caregiving   #business   #benefits",Others
4179,89566.0,500+,8 months ago,"[['https://www.linkedin.com/in/ACoAAABcCMMBihDo97gBG4QjkHvHRxYayc5DgnQ', 'Pat Sukhum'], ['https://lnkd.in/eHjjumD', 'https://lnkd.in/eHjjumD'], ['https://www.linkedin.com/feed/hashtag/?keywords=diversityinclusion&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683836547101450240', '#diversityinclusion'], ['https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683836547101450240', '#business']]",article,2,0,"[['#diversityinclusion', 'https://www.linkedin.com/feed/hashtag/?keywords=diversityinclusion&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683836547101450240'], ['#business', 'https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683836547101450240']]",9,1,,If you have some projects you need completed and want to support diverse talent please consider UpTurnships. I am thrilled  Pat Sukhum  introduced me to this fantastic organization.  https://lnkd.in/eHjjumD   #diversityinclusion   #business,Others
4180,89566.0,500+,8 months ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683834048617488384', '#benefits'], ['https://www.linkedin.com/feed/hashtag/?keywords=talent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683834048617488384', '#talent']]",article,2,0,"[['#benefits', 'https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683834048617488384'], ['#talent', 'https://www.linkedin.com/feed/hashtag/?keywords=talent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6683834048617488384']]",2,0,,Is your culture and benefits package competitive? Does your organization have a clear understanding of what the most sought after talent expects in this rapidly changing landscape?   #benefits   #talent,Trends
4214,89566.0,500+,10 months ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477', '#caregiving'], ['https://www.linkedin.com/feed/hashtag/?keywords=caregiversupport&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477', '#caregiversupport'], ['https://www.linkedin.com/feed/hashtag/?keywords=homehealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477', '#homehealth']]",article,3,0,"[['#caregiving', 'https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477'], ['#caregiversupport', 'https://www.linkedin.com/feed/hashtag/?keywords=caregiversupport&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477'], ['#homehealth', 'https://www.linkedin.com/feed/hashtag/?keywords=homehealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664241442573033477']]",5,0,,"If you find yourself trying to navigate care for yourself or your loved one during this difficult time, there is help available. Get guidance and assistance from experts who understand the resources available.  #caregiving   #caregiversupport   #homehealth",Others
4215,89566.0,500+,10 months ago,[],article,0,0,[],17,1,,"Congratulations to author Colson Whitehead who joins Tarkington, Faulkner and Updike as the only writers in history to win a Pulitzer prize twice.",Others
4292,89566.0,500+,1 year ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=today&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033', '#today'], ['https://www.linkedin.com/feed/hashtag/?keywords=equalityforall&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033', '#equalityforall'], ['https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033', '#business'], ['https://www.linkedin.com/feed/hashtag/?keywords=culturematters&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033', '#culturematters'], ['https://www.linkedin.com/feed/hashtag/?keywords=humanity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033', '#humanity']]",article,5,0,"[['#today', 'https://www.linkedin.com/feed/hashtag/?keywords=today&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033'], ['#equalityforall', 'https://www.linkedin.com/feed/hashtag/?keywords=equalityforall&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033'], ['#business', 'https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033'], ['#culturematters', 'https://www.linkedin.com/feed/hashtag/?keywords=culturematters&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033'], ['#humanity', 'https://www.linkedin.com/feed/hashtag/?keywords=humanity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587374826753708033']]",13,2,,"Today is a very important day that all Americans should pay close attention to. Arguments begin in front of the supreme court because the current department of justice's stance that employers should be able to fire employees based on their gender expression or sexuality. As the CEO of a company, friend to the LGBTQ community, proud mother of a remarkable young woman who happens to be a lesbian and an American who believes in equal rights, I vehemently oppose the discrimination that is being proposed.  #today   #equalityforall   #business   #culturematters   #humanity 
 
 
 …see more",Others
4293,89566.0,500+,1 year ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=workplace&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296', '#workplace'], ['https://www.linkedin.com/feed/hashtag/?keywords=caregivers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296', '#caregivers'], ['https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296', '#benefits'], ['https://www.linkedin.com/feed/hashtag/?keywords=productivity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296', '#productivity'], ['https://lnkd.in/ebXb3uc', 'https://lnkd.in/ebXb3uc']]",image,4,0,"[['#workplace', 'https://www.linkedin.com/feed/hashtag/?keywords=workplace&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296'], ['#caregivers', 'https://www.linkedin.com/feed/hashtag/?keywords=caregivers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296'], ['#benefits', 'https://www.linkedin.com/feed/hashtag/?keywords=benefits&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296'], ['#productivity', 'https://www.linkedin.com/feed/hashtag/?keywords=productivity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6587371962115383296']]",8,0,,Are you looking for new ways to impact absenteeism and productivity? You should probably start implementing solutions for working caregivers.   #workplace   #caregivers   #benefits   #productivity   https://lnkd.in/ebXb3uc,Others
4334,89566.0,500+,1 year ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=leadership&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016', '#leadership'], ['https://www.linkedin.com/feed/hashtag/?keywords=womenleaders&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016', '#womenleaders'], ['https://www.linkedin.com/feed/hashtag/?keywords=militaryservice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016', '#militaryservice'], ['https://www.linkedin.com/feed/hashtag/?keywords=unitedstatesnavalacademy&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016', '#unitedstatesnavalacademy'], ['https://www.linkedin.com/feed/hashtag/?keywords=fearless&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016', '#fearless']]",image,5,0,"[['#leadership', 'https://www.linkedin.com/feed/hashtag/?keywords=leadership&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016'], ['#womenleaders', 'https://www.linkedin.com/feed/hashtag/?keywords=womenleaders&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016'], ['#militaryservice', 'https://www.linkedin.com/feed/hashtag/?keywords=militaryservice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016'], ['#unitedstatesnavalacademy', 'https://www.linkedin.com/feed/hashtag/?keywords=unitedstatesnavalacademy&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016'], ['#fearless', 'https://www.linkedin.com/feed/hashtag/?keywords=fearless&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6543972386843222016']]",212,9,,"To all the moms at the park who scolded me for letting her climb too high, ride her bike too fast, wear boy clothes, cut her hair too short and make up new games with new rules...she turned out just fine. Go Navy! ⚓️  #leadership   #womenleaders   #militaryservice   #unitedstatesnavalacademy   #fearless 
 
 
 …see more",Others
4350,89566.0,500+,1 year ago,[],video,0,0,[],71,8,,"I am heartbroken and remember Notre Dame at her most beautiful on this Sunday in July.  Vive La France, Vive La Notre Dame 🇫🇷",Others
4363,89566.0,500+,2 years ago,"[['https://lnkd.in/efDES7A', 'https://lnkd.in/efDES7A'], ['https://www.linkedin.com/feed/hashtag/?keywords=employeeengagement&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104', '#employeeengagement'], ['https://www.linkedin.com/feed/hashtag/?keywords=education&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104', '#education'], ['https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104', '#caregiving'], ['https://www.linkedin.com/feed/hashtag/?keywords=caregiversupport&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104', '#caregiversupport']]",article,4,0,"[['#employeeengagement', 'https://www.linkedin.com/feed/hashtag/?keywords=employeeengagement&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104'], ['#education', 'https://www.linkedin.com/feed/hashtag/?keywords=education&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104'], ['#caregiving', 'https://www.linkedin.com/feed/hashtag/?keywords=caregiving&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104'], ['#caregiversupport', 'https://www.linkedin.com/feed/hashtag/?keywords=caregiversupport&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508832649476399104']]",15,2,,"If you are in Minnesota, please join us for a morning of support, tools and education for caregivers on April 27th at the beautiful University of Minnesota Landscape Arboretum in Chaska.   https://lnkd.in/efDES7A   #employeeengagement   #education   #caregiving   #caregiversupport 
 
 
 …see more",Events
4364,89566.0,500+,2 years ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160', '#business'], ['https://www.linkedin.com/feed/hashtag/?keywords=womeninbusiness&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160', '#womeninbusiness'], ['https://www.linkedin.com/feed/hashtag/?keywords=entrpreneur&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160', '#entrpreneur']]",article,3,0,"[['#business', 'https://www.linkedin.com/feed/hashtag/?keywords=business&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160'], ['#womeninbusiness', 'https://www.linkedin.com/feed/hashtag/?keywords=womeninbusiness&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160'], ['#entrpreneur', 'https://www.linkedin.com/feed/hashtag/?keywords=entrpreneur&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6508742965144412160']]",3,0,,"Back at it in Paris at Station F.  CNN did this great story on the unique and innovative tech ecosystem being created in France. I feel very blessed to be a part of it. It's amazing to see what's happening on the global stage and to learn from other entrepreneurs from around the world.  #business   #womeninbusiness   #entrpreneur 
 
 
 …see more",Others
4392,89566.0,500+,2 years ago,[],article,0,0,[],28,0,,There is such a need for services that support alternative ways of managing end of life and respects all decisions on how to live and how to die.  Even talking about it and having  these important conversations is a step in the right direction.,Others
4457,89566.0,500+,2 years ago,[],image,0,0,[],91,2,,Thinking about the bravery of those who gave the ultimate sacrifice. 🇺🇸,Others
4498,89566.0,500+,3 years ago,[],image,0,0,[],67,2,,"""I have a deeply hidden and articulate desire for something beyond the daily life.""   ~ Virginia Woolf Happy Birthday to Virginia Woolf whose writing has inspired so many to dream and strive for something bigger. 
 
 
 …see more",Others
4520,89566.0,500+,3 years ago,[],article,0,0,[],52,6,,Very honored and excited to be heading to Rwanda today for a week full of meetings with healthcare leaders from Rwanda and the U.S. working toward improving delivery of healthcare in Africa.,Others
4533,89566.0,500+,3 years ago,[],article,0,0,[],4,0,,A great listen on your commute today.,Others
4550,89566.0,500+,3 years ago,[],article,0,0,[],27,2,,Why it’s smart to invest in women-led companies,Others
4633,89566.0,500+,4 years ago,[],image,0,0,[],11,0,,Motivation to begin the week.,Others
4645,89566.0,500+,4 years ago,[],article,0,0,[],15,1,,"""There [are] lots of bad reasons to start a company, but there's only one good, legitimate  reason and I think you know what it is; it's to change the world. ~Phil Libin, CEO of Evernote",Others
4689,9308.0,500+,2 weeks ago,"[['https://www.linkedin.com/company/hellostride/', 'Stride'], ['https://www.linkedin.com/company/revenue-collective/', 'Revenue Collective'], ['https://www.linkedin.com/in/ACoAAAASN2cBeFTWjYgjvi9WaSagpkU6Rs1GjVk', 'Sam Jacobs']]",image,0,0,[],8,0,,"Stride  is very excited to be working with  Revenue Collective , a New York based, private membership organization that attracts leaders in sales, marketing, and operations for peer to peer growth and acceleration.   Revenue Collective has been scaling rapidly and needed a partner that could provide them with timely, accurate, and actionable bookkeeping and accounting services so they could plot their future with confidence.  It has been a pleasure working with  Sam Jacobs  and his team. We are excited to support and witness their growth. 
 
 
 …see more",Interactive Promotions
4692,9308.0,500+,1 month ago,"[['https://www.linkedin.com/company/hellostride/', 'Stride']]",article,0,0,[],20,0,,"I'm excited to share that at  Stride , we are hiring account managers with financial leadership experience to help current and future clients optimize their financial data to make more strategic business decsions.  If you or someone you know would be interested, let me know.  Professional services experience is important.  Thanks.  Onward. 
 
 
 …see more",Professional Growth
4714,9308.0,500+,10 months ago,"[['https://www.linkedin.com/company/hellostride/', 'Stride']]",article,0,0,[],4,1,,"Now many of you have applied for the Paycheck Protection Program and have received your funds (or will...or I hope you will).  The next chapter is how to manage that loan in order to track for loan forgiveness.  At  Stride , we are helping our clients setup, track and reconcile.  We put together these top 10 items for you as you think about this with your bookkeeping/accounting team.  There are a lot of moving parts still but we're aiming to stay on top of it for you.  If other questions come up for you, leave a comment and we'll work on it. 
 
 
 …see more",Others
4720,9308.0,500+,11 months ago,"[['https://www.linkedin.com/company/hellostride/', 'Stride']]",article,0,0,[],3,0,,"Sometimes I retreat to my personal blog and it helps center me to remind myself that while external circumstances can be a whole lot of crazy, it is up to me how I respond.  In difficult times, steady leadership, a clear plan, and prioritization is critical.  So is checking your mental self.  I'm proud of the team at  Stride  for how we are supporting our clients.  We all want and need to support each other. 
 
 
 …see more",Others
